player_id,name,nationality,position,sub_position,market_value_m,minutes_played,goals,assists,key_passes,tackles,interceptions,pass_accuracy,goals_per_90,assists_per_90,image_url,foot,height_in_cm,date_of_birth,games_played,yellow_cards,red_cards,market_value_in_eur,latest_market_value_in_eur
418560,Erling Haaland,Norway,Attack,Centre-Forward,200.0,23262,251,51,90,21,16,67.9,0.97,0.2,https://img.a.transfermarkt.technology/portrait/header/418560-1709108116.png?lm=1,left,195.0,2000-07-21 00:00:00,286,19,0,200000000.0,200000000.0
38253,Robert Lewandowski,Poland,Attack,Centre-Forward,15.0,23535,243,48,92,21,16,80.9,0.93,0.18,https://img.a.transfermarkt.technology/portrait/header/38253-1760445524.jpg?lm=1,right,186.0,1988-08-21 00:00:00,301,25,0,15000000.0,15000000.0
132098,Harry Kane,England,Attack,Centre-Forward,65.0,24471,239,64,95,22,16,91.3,0.88,0.24,https://img.a.transfermarkt.technology/portrait/header/132098-1700211169.jpg?lm=1,right,188.0,1993-07-28 00:00:00,293,29,0,65000000.0,65000000.0
342229,Kylian Mbappé,France,Attack,Centre-Forward,180.0,23476,237,69,91,21,16,69.7,0.91,0.26,https://img.a.transfermarkt.technology/portrait/header/342229-1682683695.jpg?lm=1,right,180.0,1998-12-20 00:00:00,287,39,1,180000000.0,180000000.0
148455,Mohamed Salah,Egypt,Attack,Right Winger,30.0,25227,175,93,98,22,17,88.8,0.62,0.33,https://img.a.transfermarkt.technology/portrait/header/148455-1727337594.jpg?lm=1,left,175.0,1992-06-15 00:00:00,313,9,0,30000000.0,30000000.0
406625,Lautaro Martínez,Argentina,Attack,Centre-Forward,85.0,23006,153,50,89,20,15,82.1,0.6,0.2,https://img.a.transfermarkt.technology/portrait/header/406625-1695024988.jpg?lm=1,right,174.0,1997-08-22 00:00:00,321,44,1,85000000.0,85000000.0
324503,Vangelis Pavlidis,Greece,Attack,Centre-Forward,25.0,20815,139,51,81,19,14,69.3,0.6,0.22,https://img.a.transfermarkt.technology/portrait/header/324503-1737497307.jpg?lm=1,both,186.0,1998-11-21 00:00:00,261,29,0,25000000.0,25000000.0
401923,Victor Osimhen,Nigeria,Attack,Centre-Forward,75.0,16424,137,36,64,15,11,74.9,0.75,0.2,https://img.a.transfermarkt.technology/portrait/header/401923-1779987631.png?lm=1,right,186.0,1998-12-29 00:00:00,216,42,1,75000000.0,75000000.0
270541,Serhou Guirassy,Guinea,Attack,Centre-Forward,40.0,15764,130,21,61,14,11,70.3,0.74,0.12,https://img.a.transfermarkt.technology/portrait/header/270541-1755989642.jpg?lm=1,right,187.0,1996-03-12 00:00:00,232,23,0,40000000.0,40000000.0
533738,Jonathan David,Canada,Attack,Centre-Forward,35.0,19668,121,29,76,17,13,81.9,0.55,0.13,https://img.a.transfermarkt.technology/portrait/header/533738-1760114012.jpg?lm=1,both,178.0,2000-01-14 00:00:00,270,21,0,35000000.0,35000000.0
105521,Ciro Immobile,Italy,Attack,Centre-Forward,2.0,17175,120,29,67,15,11,65.6,0.63,0.15,https://img.a.transfermarkt.technology/portrait/header/105521-1770718860.jpg?lm=1,right,185.0,1990-02-20 00:00:00,242,37,1,2000000.0,2000000.0
371998,Vinicius Junior,Brazil,Attack,Left Winger,180.0,22286,119,88,87,20,15,77.3,0.48,0.36,https://img.a.transfermarkt.technology/portrait/header/371998-1761575144.jpg?lm=1,right,176.0,2000-07-12 00:00:00,282,64,2,180000000.0,180000000.0
96341,Romelu Lukaku,Belgium,Attack,Centre-Forward,15.0,17378,116,38,68,15,12,67.4,0.6,0.2,https://img.a.transfermarkt.technology/portrait/header/96341-1661780981.jpg?lm=1,left,190.0,1993-05-13 00:00:00,245,25,1,15000000.0,15000000.0
357498,Dušan Vlahović,Serbia,Attack,Centre-Forward,35.0,17217,112,23,67,15,11,67.7,0.59,0.12,https://img.a.transfermarkt.technology/portrait/header/357498-1683293071.jpg?lm=1,left,190.0,2000-01-28 00:00:00,251,23,1,35000000.0,35000000.0
307058,Mehdi Taremi,Iran,Attack,Centre-Forward,2.5,17167,112,66,67,15,11,65.4,0.59,0.35,https://img.a.transfermarkt.technology/portrait/header/307058-1716551799.jpg?lm=1,right,187.0,1992-07-18 00:00:00,262,28,2,2500000.0,2500000.0
238407,Alexander Sørloth,Norway,Attack,Centre-Forward,20.0,16842,112,22,65,15,11,69.0,0.6,0.12,https://img.a.transfermarkt.technology/portrait/header/238407-1716403969.jpg?lm=1,left,196.0,1995-12-05 00:00:00,295,28,1,20000000.0,20000000.0
272855,Paul Onuachu,Nigeria,Attack,Centre-Forward,6.0,12806,110,13,50,11,9,79.8,0.77,0.09,https://img.a.transfermarkt.technology/portrait/header/272855-1756305316.png?lm=1,right,201.0,1994-05-28 00:00:00,190,27,0,6000000.0,6000000.0
325443,Viktor Gyökeres,Sweden,Attack,Centre-Forward,70.0,11234,109,26,44,10,7,80.4,0.87,0.21,https://img.a.transfermarkt.technology/portrait/header/325443-1737581896.jpg?lm=1,right,189.0,1998-06-04 00:00:00,147,15,1,70000000.0,70000000.0
242086,Patrik Schick,Czech Republic,Attack,Centre-Forward,25.0,14367,109,17,56,13,10,74.0,0.68,0.11,https://img.a.transfermarkt.technology/portrait/header/242086-1727378322.jpg?lm=1,left,191.0,1996-01-24 00:00:00,232,15,0,25000000.0,25000000.0
433049,Youssef En-Nesyri,Morocco,Attack,Centre-Forward,20.0,16990,107,16,66,15,11,87.1,0.57,0.08,https://img.a.transfermarkt.technology/portrait/header/433049-1765459421.png?lm=1,left,188.0,1997-06-01 00:00:00,280,25,0,20000000.0,20000000.0
261927,Ricardo Horta,Portugal,Attack,Left Winger,10.0,23642,106,61,92,21,16,72.9,0.4,0.23,https://img.a.transfermarkt.technology/portrait/header/261927-1702415787.jpg?lm=1,right,173.0,1994-09-15 00:00:00,289,28,0,10000000.0,10000000.0
125781,Antoine Griezmann,France,Attack,Second Striker,11.0,22218,106,64,86,20,15,85.2,0.43,0.26,https://img.a.transfermarkt.technology/portrait/header/125781-1775233998.jpg?lm=1,left,176.0,1991-03-21 00:00:00,323,21,1,11000000.0,11000000.0
240306,Bruno Fernandes,Portugal,Midfield,Attacking Midfield,40.0,27715,105,106,139,49,37,75.1,0.34,0.34,https://img.a.transfermarkt.technology/portrait/header/240306-1683882766.jpg?lm=1,right,183.0,1994-09-08 00:00:00,323,59,1,40000000.0,40000000.0
349066,Alexander Isak,Sweden,Attack,Centre-Forward,120.0,16079,102,21,63,14,11,76.8,0.57,0.12,https://img.a.transfermarkt.technology/portrait/header/349066-1680791339.jpg?lm=1,right,190.0,1999-09-21 00:00:00,237,18,0,120000000.0,120000000.0
324358,Ollie Watkins,England,Attack,Centre-Forward,30.0,20429,100,45,79,18,14,71.0,0.44,0.2,https://img.a.transfermarkt.technology/portrait/header/324358-1708341279.jpg?lm=1,right,180.0,1995-12-30 00:00:00,263,26,0,30000000.0,30000000.0
72522,Luuk de Jong,Netherlands,Attack,Centre-Forward,1.5,15407,99,47,60,14,10,75.3,0.58,0.27,https://img.a.transfermarkt.technology/portrait/header/72522-1682332002.jpg?lm=1,right,188.0,1990-08-27 00:00:00,246,20,1,1500000.0,1500000.0
28396,Edin Dzeko,Bosnia-Herzegovina,Attack,Centre-Forward,2.7,17107,98,45,67,15,11,80.0,0.52,0.24,https://img.a.transfermarkt.technology/portrait/header/28396-1752151521.jpg?lm=1,right,192.0,1986-03-17 00:00:00,266,23,0,2700000.0,2700000.0
480692,Luis Díaz,Colombia,Attack,Left Winger,70.0,19533,98,58,76,17,13,72.3,0.45,0.27,https://img.a.transfermarkt.technology/portrait/header/480692-1757938077.jpg?lm=1,right,179.0,1997-01-13 00:00:00,284,23,0,70000000.0,70000000.0
46413,Ante Budimir,Croatia,Attack,Centre-Forward,3.0,16321,98,11,63,15,11,76.1,0.54,0.06,https://img.a.transfermarkt.technology/portrait/header/46413-1732219707.jpg?lm=1,left,190.0,1991-07-22 00:00:00,239,34,0,3000000.0,3000000.0
406635,Phil Foden,England,Midfield,Attacking Midfield,150.0,19854,98,55,99,35,26,69.7,0.44,0.25,https://img.a.transfermarkt.technology/portrait/header/406635-1668524492.jpg?lm=1,left,171.0,2000-05-28 00:00:00,303,15,0,150000000.0,150000000.0
368887,Loïs Openda,Belgium,Attack,Centre-Forward,60.0,16579,97,30,64,15,11,73.3,0.53,0.16,https://img.a.transfermarkt.technology/portrait/header/368887-1713944805.jpg?lm=1,right,177.0,2000-02-16 00:00:00,244,17,2,60000000.0,60000000.0
185245,Jhon Córdoba,Colombia,Attack,Centre-Forward,10.0,14807,95,41,58,13,10,65.7,0.58,0.25,https://img.a.transfermarkt.technology/portrait/header/185245-1753531142.png?lm=1,right,186.0,1993-05-11 00:00:00,190,34,2,10000000.0,10000000.0
411295,Raphinha,Brazil,Attack,Left Winger,50.0,18290,95,74,71,16,12,84.9,0.47,0.36,https://img.a.transfermarkt.technology/portrait/header/411295-1729754479.png?lm=1,left,176.0,1996-12-14 00:00:00,261,39,1,50000000.0,50000000.0
46580,Andrej Kramaric,Croatia,Attack,Second Striker,3.0,17353,95,48,67,15,12,90.0,0.49,0.25,https://img.a.transfermarkt.technology/portrait/header/46580-1755089885.jpg?lm=1,right,177.0,1991-06-19 00:00:00,225,21,0,3000000.0,3000000.0
426620,Pedro Gonçalves,Portugal,Attack,Left Winger,30.0,18433,93,64,72,16,12,75.8,0.45,0.31,https://img.a.transfermarkt.technology/portrait/header/426620-1759778826.jpg?lm=1,right,173.0,1998-06-28 00:00:00,240,48,1,30000000.0,30000000.0
343537,Artem Dovbyk,Ukraine,Attack,Centre-Forward,20.0,13354,93,28,52,12,9,76.7,0.63,0.19,https://img.a.transfermarkt.technology/portrait/header/343537-1719215184.jpg?lm=1,left,189.0,1997-06-21 00:00:00,187,9,0,20000000.0,20000000.0
521127,Ayoub El Kaabi,Morocco,Attack,Centre-Forward,5.0,12074,93,13,47,11,8,80.1,0.69,0.1,https://img.a.transfermarkt.technology/portrait/header/521127-1717008763.jpg?lm=1,left,182.0,1993-06-25 00:00:00,165,12,0,5000000.0,5000000.0
91845,Heung-min Son,"Korea, South",Attack,Left Winger,17.0,18322,93,57,71,16,12,75.9,0.46,0.28,https://img.a.transfermarkt.technology/portrait/header/91845-1771690023.jpg?lm=1,both,183.0,1992-07-08 00:00:00,232,7,0,17000000.0,17000000.0
28003,Lionel Messi,Argentina,Attack,Right Winger,35.0,13422,93,67,52,12,9,82.9,0.62,0.45,https://img.a.transfermarkt.technology/portrait/header/28003-1771694720.jpg?lm=1,left,170.0,1987-06-24 00:00:00,153,13,1,35000000.0,35000000.0
146854,Wissam Ben Yedder,France,Attack,Centre-Forward,8.0,11852,92,25,46,11,8,74.5,0.7,0.19,https://img.a.transfermarkt.technology/portrait/header/146854-1614089939.jpg?lm=1,both,170.0,1990-08-12 00:00:00,169,12,0,8000000.0,8000000.0
434675,Cody Gakpo,Netherlands,Attack,Left Winger,70.0,18707,92,57,73,17,12,74.0,0.44,0.27,https://img.a.transfermarkt.technology/portrait/header/434675-1682690965.jpg?lm=1,right,193.0,1999-05-07 00:00:00,280,17,0,70000000.0,70000000.0
339314,Deniz Undav,Germany,Attack,Centre-Forward,25.0,12057,92,43,47,11,8,71.6,0.69,0.32,https://img.a.transfermarkt.technology/portrait/header/339314-1691999036.jpg?lm=1,both,179.0,1996-07-19 00:00:00,179,27,0,25000000.0,25000000.0
58864,Pierre-Emerick Aubameyang,Gabon,Attack,Centre-Forward,5.0,14914,92,30,58,13,10,85.9,0.56,0.18,https://img.a.transfermarkt.technology/portrait/header/58864-1762262625.jpg?lm=1,right,187.0,1989-06-18 00:00:00,208,14,1,5000000.0,5000000.0
93720,Alexandre Lacazette,France,Attack,Centre-Forward,5.0,13561,91,27,53,12,9,84.9,0.6,0.18,https://img.a.transfermarkt.technology/portrait/header/93720-1672830448.jpg?lm=1,right,175.0,1991-05-28 00:00:00,199,21,1,5000000.0,5000000.0
326029,Donyell Malen,Netherlands,Attack,Centre-Forward,25.0,14772,91,35,57,13,10,86.1,0.55,0.21,https://img.a.transfermarkt.technology/portrait/header/326029-1711746104.jpg?lm=1,right,178.0,1999-01-19 00:00:00,246,15,0,25000000.0,25000000.0
351478,Mikel Oyarzabal,Spain,Attack,Centre-Forward,25.0,19121,90,39,74,17,13,65.5,0.42,0.18,https://img.a.transfermarkt.technology/portrait/header/351478-1749415304.jpg?lm=1,left,181.0,1997-04-21 00:00:00,269,24,2,25000000.0,25000000.0
177467,Gerard Moreno,Spain,Attack,Centre-Forward,10.0,13446,90,36,52,12,9,84.8,0.6,0.24,https://img.a.transfermarkt.technology/portrait/header/177467-1726231623.jpg?lm=1,left,180.0,1992-04-07 00:00:00,198,16,0,10000000.0,10000000.0
8198,Cristiano Ronaldo,Portugal,Attack,Centre-Forward,15.0,10527,90,14,41,9,7,66.2,0.77,0.12,https://img.a.transfermarkt.technology/portrait/header/8198-1748102259.jpg?lm=1,right,185.0,1985-02-05 00:00:00,127,21,0,15000000.0,15000000.0
128223,Álvaro Morata,Spain,Attack,Centre-Forward,16.0,16196,88,39,63,14,11,73.8,0.49,0.22,https://img.a.transfermarkt.technology/portrait/header/128223-1719989301.jpg?lm=1,right,189.0,1992-10-23 00:00:00,277,38,1,16000000.0,16000000.0
68863,Mauro Icardi,Argentina,Attack,Centre-Forward,6.0,11412,88,28,44,10,8,72.8,0.69,0.22,https://img.a.transfermarkt.technology/portrait/header/68863-1671105169.png?lm=1,right,181.0,1993-02-19 00:00:00,186,11,0,6000000.0,6000000.0
18922,Karim Benzema,France,Attack,Centre-Forward,15.0,9583,86,25,37,9,6,80.8,0.81,0.23,https://img.a.transfermarkt.technology/portrait/header/18922-1702414196.jpg?lm=1,right,185.0,1987-12-19 00:00:00,114,2,0,15000000.0,15000000.0
